description,category,spec_pred
ดาย Ext. my 215 Dia 4.7x117 รู,Industrial Knives,brand -|compatibility -|item -|material -|model -|size -
SP25003674:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
ทุนการศึกษา,Financial Assistance,item -
ไมโครสวิตซ์ก้านยาว,Switches,
SP24000882:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
681409  ST.ชนGroupM+PTT ลด7วัน (w4) 1แถม,Vehicle Maintenance And Repair Services,item 
ปืนฉีดน้ำ,Smart Dishwashers,
ชุดตัด ARCTECH,Electrode Holders,
SP25003491:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
ค่าขนส่ง FedEx  Nov  24,Road Freight,item 
แร็คพวงมาลัยรถกอล์ฟ LV TONG New Model,Car Roof Racks,
ตู้G2PBRZ,Counters,
2TLA020056R1000,Vehicle Maintenance And Repair Services,item -
ค่าผ้าใบ PVC 3*4,Shade Sails & Nets,brand -|color -|item -|material -|model -|shadingrate -|shape -|size -|waterproof -
(MP)PDA DEVICE- 5 Slot Credle + power Supply,Other Power Supplies,
MC33 RUBBER BOOT FOR STRAIGHT,Truck Brake Shoes,
ผ้ากันไฟ 3x5 เมตร หนา 1.5 มม.,Other Safety Products,
เทปลบคำผิดแบบป้าย ยี่ห้อ Whiper WH-605 ;,Correction Tape,
SP25001988:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
BETADINE 30 CC. IDS,Other Healthcare Supply,
AUTO CUT F-35P,Plasma Welders,
ตะขอแขวนถุงหิ้วแคชเชียร์/Hook for Plastic Bag @ Cashier Tube size 50*65*75 mm.,Other Kitchen Furniture,
ดัมเบลหุ้มยางพรั้มชั้นวางขนาด2.5-15kg,Dumbbells,
"คีย์บอร์ดไร้สาย,คีย์บอร์ดไร้สาย",Computer Keypads,
กล่องติดป้ายราคา 226,Counters,
"POWER FLEX STEAM EXPANSION JOINT 4""",Swivels,
3 Burners Thai Range 2000x750x750+250,Ranges,
4004738 เมาส์ไร้สาย น้ำเงิน Logitech M33,Mouse,
680871 TC A5 TMW Foodplace พ.ค.68,Vehicle Maintenance And Repair Services,item 
Re-Order กระเป่าพิมพ์ลายไม่มีก้น ขนาด 10*18 cm. พิมพ์ลายโลโก้แดงบนผ้าขาว ตามมาตรฐานของบริษัท,Nonwoven Bags,
TACHOMETER EXTECH 461995,Speed Measuring Instruments,
ฟิวเจอร์บรอด์3มิล1.30X2.45เมตร 1X1 ;2000,Other Boards For Office & School,
Pressure Switch ISE20B-R-M-C6L-W,Pressure Switches,
รถเข็น 3 ล้อ,Luggage Carts,
"SP25004858:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1408602 Y2024 OMRON"" SMOKEDETACTOR  # 2151 (4 WIRE) ""OMRON"" 1 ชิ้น",Other Motor Accessories,
"กาต้มน้ำไฟฟ้า anitech, สินค้ารวมค่าสกรีนโลโก้/ค่า Package/ค่าจัดส่ง; No.PVI68060116",Water Kettles,
-FLOAT SWITCH,Flow Switches,
CM25002380 FLOAT SWITCH (Public Toilet),Flow Switches,
Overhaul มอเตอร์ ขนาด 40 hp,Motor Installation And Maintenance Service,item -
IN2025-02550 งานซ่อม FLOAT SWITCH FOR STAFF TOILET,Flow Switches,
CM25002380 FLOAT SWITCH (Staff Toilet),Flow Switches,
กล่องใส่ถุง+ถุงมือข้างเคาน์เตอร์จัดเรียงปลา ( 2ช่อง)/Plastic Bag Hanging Box size 123*200*152 mm,Other Kitchen Furniture,
IN2025-04960  Float Switch เปลี่ยนที่บ่อห้องน้ำพนักงาน,Flow Switches,
งานเปลี่ยนFLOAT SWITCH(CM25000772)-FLOAT SWITCH,Flow Switches,
สรุปยอดขายให้ GAL  (SEC 017) ( 1 Pack : 10 เล่ม ),Other Packaging & Printing Products,
60349680 โคมไฟกิ่งภายนอกโซล่าเซลล์ Motio,Lawn Lights,
CM25149146:Showcase Cabinets (ตู้แช่):หลอดไฟดับ,Refrigerator Lamps,
Re-brand เสื้อเชฟแขนสั้น-You Shop We Cook Size L,Restaurant & Bar Uniforms,
"กล้องติดรถยนต์ หน้า-หลัง DDPAI x5 pro, สินค้ารวมค่าสกรีนโลโก้/ค่า Package/ค่าจัดส่ง; No.PVI68030056",Car Dvd Player,
เม้าส์มีสาย FEONIX#B026,Mouse,
จักรยานนั่งปั่น Schwinn Upright 510U|-,City Bike,
Sikadur 52 TH อิพ็อกซี่สำหรับงานอัดฉีด,Grease Guns,
SP25003726:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
(MP) First inter business MWR53ZA/A Magic Keyboard for iPad Pro 13 inch (M4) - US English - Black,Tablet Covers & Cases,
Quad Slot Battery Cradle for UROVO DT66,Battery Accessories,
Nutrient agar (NA),Glial,
สร้างช๊อปวิศวกรรม ไอซีดี 14-19/7/68|สร้างช๊อปวิศวกรรม ไอซีดี 14-19/7/2568,Other Electronics Repair Parts,
"KBr Powder, SPECAC, 50G/BT",Chemical Auxiliary Agent,"brand -|item kbrpowder,specac|model -|piece -|volume 50g"
แผ่นรองมิเตอร์ไฟ TEK 20x30 ซม. ดำ,Voltage Meters,
Patron Silver Tequila 750ml.,Tequila,
Reflective light barrier 105668434,Safety Sensors,
CM25028952:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
"TRANSCEND: RAM-TS-DDR4-4G-2666, Ram, 4GB DDR4/2666",Rams,
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Hall สาขา Mega Bangna
Quo No. QM-20250401343",Sign Installation And Maintenance Service,item -
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Center (FOFO) สาขา BIG C BANG YAI
Quo No. QM-20250401341-1",Sign Installation And Maintenance Service,item -
B-เครื่องล้างจาน-pressure switch|DIHR 88110AX151 250-40 งานบำรุงรักษาเครื่องล้านจาน อาคารสำนักงาน,Pressure Switches,
Float Switch Assembly,Flow Switches,
งานปรับปรุงเปลี่ยนลวดตะแกรงกรองปากหม้อMX,Sieves,
พ่วงข้างมอเตอร์ไซต์ กว้าง70 ยาว114ซม.,Wheelbarrows,
โครงการทำเงิน_Arctic Coke_6788,Coke Fuel,
CM25352575:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
"(TW)_(CS)""Main Building""_ M&E Work_SV INFRA-PRELIMINARIES_MNS Paklok-Ya Mhu (Relocation), Phuket",Electrical System Services,item -
Freight and transport service,Regional Or National Trucking Services,
"(TW)_(CS) ""Main Building""_M&E Work_SV INFRA-PRELIMINARIES_MNS Phuket Airport 2, Phuket",Electrical System Services,item -
REPAIR VIBRATOR PFC-MODULE 142/02P-3,Other Motor Accessories,
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Hall สาขา Robinson Samutprakan
Quo No. QM-20250401343",Sign Installation And Maintenance Service,item -
ค่าขนขุดขนาด3.5ตัน|งานซ่อมระบบบำบัดน้ำ ห้องน้ำส่วนสำนักงานและหอพัก,Water Hewning Or Use Service,
งานตัดต้นไม้_7410,Garden Tools Accessories,
ตู้41SL,Counters,
(MP)KVM Switch 8 Port,Kvm Switches,
รถเข็นของมีคอก มือจับ2ด้าน 1250x765x1000,Caster Wheels,
ค่าบริการเบิกกล่องเอกสาร เดือน พฤษภาคม 2025,Express Services,item 
CM25186724:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
PRESSURE SWITCH [320385A] [320385A],Pressure Switches,
PB28884 Ring ;30039305;0001;114,Vehicle Maintenance And Repair Services,item -
"MUWA3ZA/A Apple Pencil (USB-C),MUWA3ZA/A APPLE PENCIL (USB-C)",Stylus Pens,
Bass Top 6CH Clear Acrylic,Other Musical Instruments & Accessories,
"B-Potassium Iodide AR.grade|Potassium Iodide AR.grade (1กิโลกรัม/ขวด) ยี่ห้อ KemAus, Australia ใช้สำหรับเตรียมสารย้อมสี ใบเสนอราคาเลขที่ LV68/0966",Halide ( Except Chloride ),
MECHANICAL PRESS SWITCH,Rotary Switches,
ตู้ 36BS-100,Counters,
Disconnect built up switch [ [095214017],Switch Disconnectors,
Three Vane Paddle MONITOR 1-4146,Other Analysis Instruments,
9006044 รองเท้าแตะฟองน้ำ ชนิดสวม ส้ม เบอ,Slippers,
เครื่องบัดกรีไร้สาย Milwaukee M12SI,Soldering Irons,
"NANLITE: FS-300B, LED Bi-color Spot Light (2700K-6500K) (ประกันศูนย์)",Photographic Lighting,
ค่าบริการเจาะช่องแมนโฮ,Agricultural Building Construction Services,item 
แผ่นน้ำหนักโอลิมปิก SET2PC 5-20 kg,Kettlebells,
47-HU2809A-200x200 Plate [IBAMI572],Other Hardware,
SIP-T31G: Yealink T31 Gigabit 2 Lines IP,Broadcast Intercom Systems,
ชุดเสื้อโทเรคอกลม+กางเกงโทเรขายาวยางยืด,Other Uniforms,application -|brand -|color -|item -|material -|model -|size -
เครื่องผสมสัญญาณ BEHRINGER X1622USB,Audio Processor,
เครื่องเจาะคอริ่ง SUMO DC175  68 x 15 x,Other Power Tools,
SP25003779:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
"BJOFF1410_Bushing,BJOFF1410_BUSHING",Bushings,
12 PORT F/O RACK MOUNT_SC F.O CONNECTOR,Fiber Optic Connectors,
Arm robot spider-Arm carbon Fiber,Hobby Pre-built Models,
เครื่องวัดแก๊ส Smart Sensor AS8900,Gas Meters,
Wireless Mouse and Keyboard HP 330,Keyboard Mouse Combos,
Limit Switch D4C-1232 เครื่องลวกสุกร [],Limit Switches,
strip [1000044518] [1000044518],Hot Rolled Steel Strips,
IN2025-03442 MODULE;EXV OVERMOLD CABLE ADAPTOR 4PIN M12 CABLE WI,Other Connectors & Terminals,
AUTO CUT F-33P,Plasma Welders,
ตู้ล็อกเกอร์ ยี่ห้อ Lucky2ประตู (ตจว) ;1,Storage Lockers,
Bar mat,Promotional Coaster,
รีโมทเครนไร้สาย TELECRANE F21-E1,Remote Controls,
ตู้ 3D,Counters,
ตู้ 2PBUC,Counters,
งานเพิ่ม 12020 ม.พฤกษา 37(1),Shops,item -
N68-(MG) ระบบแสงสว่าง|- โคม LED HIGH BAY 200 W (5 โคม) สำหรับสำรองใช้ในงานแสงสว่างภายในโรงงาน (แนบบันทึกขออนุมัติงบประมาณจากผู้บริหาร รง.วด. 164/2568 รายการที่ 3),Low Bay Light,
ค่าติดตั้งพรมปูพื้น,Carpet Laying Service,
CM25009570:Showcase Cabinets (ตู้แช่):หลอดไฟดับ,Refrigerator Lamps,
ตู้36BSC,Counters,
"SE606833H_BUSHING,SE606833H_BUSHING",Sliding Bearings,
เลเซอร์ กล้องวัดระดับ BOSCH GOL32D,Laser Distance Meters,
ลูกแม็กซ์เบอร์10-1M,Other Office Equipment,
Logitech WirelessPresenter R400,Laser Pointers,
MD-KEYBOARD BOARD #84Y167104,Computer Keypads,
Tormax Shaped Rubber band for rail,Household Rubber,
"CORSAIR: CMK64GX4M2D3600C18, Vengeance LPX (Black) 64GB (32GBx2) DDR4 RAM 3600MHz",Rams,
MK25-19 : Service fee / Cost of digital Ad. on Facebook Ads. Media-VDO-Social on Jun 2025 (Makro_NEWPRO) (Accrue Q2),Internet Advertising,brand -|item -|type -
SP25002751:Parts (ซื้ออะไหล่):อื่น ๆ,Vehicle Maintenance And Repair Services,item -
"SP25001170:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1408780 Y2024 เสากรวยจราจร-พลาสติก/คาดสะท้อนแสง2แถบ(แบบใช้เทปกั้น) ""GENERAL"" 1 ชิ้น",Other Safety Products,
รองเท้าแตะ Dwell KASSA HOME D220511-6NB,Slippers,
ตู้เก็บมีด/Keeping Knife Box size 500*200*500 mm.,Other Kitchen Furniture,
RP TNC to RP SMA Connector for Aruba AP,Coaxial Connectors (rf),
B-ถนน-หมุดสะท้อนแสง Solar สีเหลือง|หมุนสะท้อนแสงสำหรับติดถนนหน้าตาชั่ง,Traffic Warning Products,
"ผ้าแน๊ปกิ้น 22x22"" สีขาว",Grey Fabric,
CM25176769:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
PB243949,Vehicle Maintenance And Repair Services,item -
"(TW) CS_NS MNS #NT0746 Mae Kachan Wet Market, Chiang Rai_M&E Work_Public address system @ 1 Unit",Construction Services,item -
Shipping Flow mete,Other Flow Meters,
